Unnamed: 0,state/uts,"no_of_tb_-_diabetes-tb_patients_with_known_dm_status,_of_notified)-public","percentage__of_tb_-_diabetes-tb_patients_with_known_dm_status,of_notified)-public","no_of_tb_-_diabetes-tb_patients_with_known_dm_status,_of_notified)-private","percentage__of_tb_-_diabetes-tb_patients_with_known_dm_status,_of_notified)-private","no_of_tb_-_diabetes-tb_patients_with_known_dm_status,of_notified)-total","percentage_of_tb_-_diabetes-tb_patients_with_known_dm_status,__of_notified)-total","no_of_tb_-_diabetes-patients_diagnosed_among_tested,of_those_with_known_dm_status)-public","percentage_of_tb_-_diabetes-_patients_diagnosed_among_tested,of_those_with_known_dm_status)-public","no_of_tb_-_diabetes-_patients_diagnosed_among_tested,_of_those_with_known_dm_status)-private","percentage__of_tb_-_diabetes-patients_diagnosed_among_tested,__of_those_with_known_dm_status)-private","no_of_tb_-_diabetes-patients_diagnosed_among_tested,_of_those_with_known_dm_status)-total","percentage__of_tb_-_diabetes-__patients_diagnosed_among_tested,_of_those_with_known_dm_status)-total","no_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,_of_tb-dm)-public","percentage_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,_of_tb-dm)-public","no_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,_of_tb-dm)-private","percentage_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,_of_tb-dm)-private","no_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,_of_tb-dm)0total","percentage_of_tb_-_diabetes-_patients_initiated_on_anti-diabetic_treatment,of_tb-dm)0total","no_of_tobacco-tb_patients_with_known_tobacco_usage_status,_of_notified)-public","%_of_tobacco-tb_patients_with_known_tobacco_usage_status,_of_notified)-public","no_of_tobacco-tb_patients_with_known_tobacco_usage_status,of_notified)-private","%_of_tobacco-tb_patients_with_known_tobacco_usage_status,__of_notified)-private","no_of_tobacco-tb_patients_with_known_tobacco_usage_status,__of_notified)-total","%_of_tobacco-tb_patients_with_known_tobacco_usage_status,_of_notified)-total","no_of_tobacco_users_identified_amongst_screened,__of_those_with_known_tobacco_usage_status)-public","percentage_of_tobacco_users_identified_amongst_screened,__of_those_with_known_tobacco_usage_status)-public","no_of_tobacco_users_identified_amongst_screened,of_those_with_known_tobacco_usage_status)-private","percentage_of_tobacco_users_identified_amongst_screened,__of_those_with_known_tobacco_usage_status)-private","no_of_tobacco_users_identified_amongst_screened,of_those_with_known_tobacco_usage_status)-total","percentage__of_tobacco_users_identified_amongst_screened,_of_those_with_known_tobacco_usage_status)-total","no_of_tobacco_users_linked_with_tobacco_cessation_centres,_of_tobacco_users)-public","percentage__of_tobacco_users_linked_with_tobacco_cessation_centres,_of_tobacco_users)-public","no_of_tobacco_users_linked_with_tobacco_cessation_centres,of_tobacco_users)-private","percentage__of_tobacco_users_linked_with_tobacco_cessation_centres,_n_(%_of_tobacco_users)-private","no_of_tobacco_users_linked_with_tobacco_cessation_centres,_of_tobacco_users)-total","percentage__of_tobacco_users_linked_with_tobacco_cessation_centres,_of_tobacco_users)-total","_no_of_tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,_of_notified)-public","%_of__tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,_of_notified)-public","no_of__tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,__of_notified)-private","%_of__tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,__of_notified)-private","_no_of_tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,__of_notified)-total","%_of_tb_-_alcohol-tb_patients_with_known_alcohol_usage_status,_of_notified)-total","no_of_tb_-_alcohol-alcohol_users_identified_amongst_screened,_of_those_with_known_alcohol_usage_status)-public","percentage__of_tb_-_alcohol-alcohol_users_identified_amongst_screened,of_those_with_known_alcohol_usage_status)-public","no_of_tb_-_alcohol-alcohol_users_identified_amongst_screened,_of_those_with_known_alcohol_usage_status)-private","percentage__of_tb_-_alcohol-alcohol_users_identified_amongst_screened,_of_those_with_known_alcohol_usage_status)-private","no_of_tb_-_alcohol-alcohol_users_identified_amongst_screened,__of_those_with_known_alcohol_usage_status)-total","percentage__of_tb_-_alcohol-alcohol_users_identified_amongst_screened,__of_those_with_known_alcohol_usage_status)-total","no_of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,_of_alcohol_users)-public","percentage__of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,__of_alcohol_users)-public","no_of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,__of_alcohol_users)-private","percentage__of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,__of_alcohol_users)-private","no_of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,_of_alcohol_users)-total","percentage__of_no_of_tb_-_alcohol-alcohol_users_linked_with_deaddiction_centres,_of_alcohol_users)-total",latitude,longitude,timestamp,region
11,Uttar Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104192.0,95.9,35780.0,90.6,139972.0,94.5,16920.0,16.2,2365.0,6.6,19285.0,13.8,7145.0,42.2,895.0,37.8,8040.0,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2587,71.1924,2023-06-21,North
12,Meghalaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54848.0,89.5,14373.0,82.6,69221.0,88.0,2572.0,4.7,486.0,3.4,3058.0,4.4,1044.0,40.6,161.0,33.1,1205.0,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0588,76.0856,2023-02-25,North East
13,Telangana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15625.0,97.5,437.0,93.4,16062.0,97.4,1855.0,11.9,22.0,5.0,1877.0,11.7,1674.0,90.2,18.0,81.8,1692.0,90.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1048,77.1734,2023-07-17,South
14,West Bengal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10254.0,90.1,513.0,88.1,10767.0,90.0,769.0,7.5,24.0,4.7,793.0,7.4,438.0,57.0,15.0,62.5,453.0,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7782,76.5762,2023-10-26,East
15,Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36887.0,78.6,4611.0,40.1,41498.0,71.0,4280.0,11.6,91.0,2.0,4371.0,10.5,1349.0,31.5,33.0,36.3,1382.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6102,85.2799,2023-07-19,North East
16,Nagaland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59878.0,88.9,9824.0,83.5,69702.0,88.1,11159.0,18.6,566.0,5.8,11725.0,16.8,3326.0,29.8,168.0,29.7,3494.0,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3173,75.7139,2023-04-28,North East
17,Odisha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17712.0,85.9,2070.0,71.4,19782.0,84.1,2614.0,14.8,110.0,5.3,2724.0,13.8,1567.0,59.9,64.0,58.2,1631.0,59.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8505,76.2711,2023-02-24,East
18,Kerala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,88.9,9.0,81.8,306.0,88.7,7.0,2.4,1.0,11.1,8.0,2.6,4.0,57.1,1.0,100.0,5.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1526,77.577,2023-05-13,South
19,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,100.0,0.0,0.0,22.0,100.0,1.0,4.5,0.0,0.0,1.0,4.5,1.0,100.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.328,72.7846,2023-06-23,South
20,Punjab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81505.0,58.3,20132.0,40.9,101637.0,53.8,13625.0,16.7,974.0,4.8,14599.0,14.4,2697.0,19.8,92.0,9.4,2789.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9734,78.6569,2023-10-09,North
21,Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128562.0,84.4,53968.0,69.8,182530.0,79.5,11941.0,9.3,1409.0,2.6,13350.0,7.3,4069.0,34.1,404.0,28.7,4473.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7515,75.7139,2023-12-15,North East
22,Bihar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1709.0,72.1,135.0,52.5,1844.0,70.2,330.0,19.3,12.0,8.9,342.0,18.5,82.0,24.8,1.0,8.3,83.0,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6637,93.9063,2023-04-30,East
23,Haryana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3586.0,77.3,182.0,56.5,3768.0,75.9,1384.0,38.6,60.0,33.0,1444.0,38.3,254.0,18.4,3.0,5.0,257.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.467,91.3662,2023-05-02,North
24,Jharkhand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2042.0,97.9,19.0,95.0,2061.0,97.9,616.0,30.2,5.0,26.3,621.0,30.1,548.0,89.0,5.0,100.0,553.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1645,92.9376,2023-01-07,East
25,Himachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3141.0,82.5,357.0,95.7,3498.0,83.7,591.0,18.8,70.0,19.6,661.0,18.9,381.0,64.5,24.0,34.3,405.0,61.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1584,94.5624,2023-05-13,North
26,Odisha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52549.0,94.6,4025.0,91.6,56574.0,94.4,9966.0,19.0,262.0,6.5,10228.0,18.1,4454.0,44.7,114.0,43.5,4568.0,44.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9517,85.0985,2023-11-17,East
27,Jharkhand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480.0,97.0,2.0,100.0,1482.0,97.1,224.0,15.1,1.0,50.0,225.0,15.2,220.0,98.2,1.0,100.0,221.0,98.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9416,79.8083,2023-09-26,East
28,Kerala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40507.0,84.9,7662.0,78.1,48169.0,83.7,1693.0,4.2,85.0,1.1,1778.0,3.7,278.0,16.4,4.0,4.7,282.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1471,75.3412,2023-02-04,South
29,Karnataka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106155.0,80.6,28475.0,73.7,134630.0,79.1,9100.0,8.6,1541.0,5.4,10641.0,7.9,3141.0,34.5,572.0,37.1,3713.0,34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0238,74.2179,2023-02-04,South
30,Himachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.0,70.8,49.0,66.2,996.0,70.5,77.0,8.1,2.0,4.1,79.0,7.9,5.0,6.5,1.0,50.0,6.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.532,88.5122,2023-07-05,North
31,Tamil Nadu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71409.0,91.2,12182.0,68.9,83591.0,87.1,13718.0,19.2,958.0,7.9,14676.0,17.6,3231.0,23.6,165.0,17.2,3396.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1271,78.6569,2023-04-22,South
32,Tripura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51000.0,93.5,16920.0,90.6,67920.0,92.8,6533.0,12.8,754.0,4.5,7287.0,10.7,3455.0,52.9,428.0,56.8,3883.0,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1124,79.0193,2023-06-15,North East
33,Madhya Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2215.0,68.0,31.0,77.5,2246.0,68.2,478.0,21.6,0.0,0.0,478.0,21.3,44.0,9.2,0.0,0.0,44.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9408,91.9882,2023-06-30,Central
34,Telangana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301001.0,71.8,57695.0,49.4,358696.0,66.9,29311.0,9.7,1686.0,2.9,30997.0,8.6,6824.0,23.3,236.0,14.0,7060.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8467,80.9462,2023-11-20,South
35,Mizoram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21611.0,95.1,4206.0,90.5,25817.0,94.4,2492.0,11.5,185.0,4.4,2677.0,10.4,800.0,32.1,38.0,20.5,838.0,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0668,79.0193,2023-11-01,North East
36,Uttarakhand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80975.0,86.3,6168.0,77.1,87143.0,85.6,18126.0,22.4,1100.0,17.8,19226.0,22.1,6173.0,34.1,353.0,32.1,6526.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9868,87.855,2023-07-01,North
